Postal Code,Customer Class,Service Connections
78732,Austin Water Utility,2
78756,Irrigation - Commercial,32
78660,Irrigation - Multi-Family,12
78723,Irrigation - City of Austin,4
78723,Irrigation - Multi-Family,10
78748,Irrigation - Multi-Family,45
78750,Residential,7939
78701,Irrigation - City of Austin,49
78731,Austin Water Utility,1
78652,Multi-Family,1
78742,City of Austin,1
78746,Irrigation - Residential,19
78739,Wholesale,1
78702,Irrigation - City of Austin,31
78737,Irrigation - Residential,1
78613,Irrigation - Commercial,30
78617,Irrigation - City of Austin,1
78724,Residential,3815
78725,Irrigation - Residential,1
78736,Irrigation - Commercial,16
78741,Irrigation - Commercial,110
78735,Large Volume,1
78732,Irrigation - Commercial,1
78735,City of Austin,2
78752,Austin Water Utility,1
78719,Commercial,70
78660,Irrigation - Commercial,53
78712,Commercial,18
78703,Commercial,462
78722,Irrigation - Multi-Family,4
78717,Irrigation - Multi-Family,32
78732,Commercial,8
78717,Irrigation - Commercial,128
78721,Commercial,139
78755,Commercial,1
78746,City of Austin,7
78617,City of Austin,4
78751,City of Austin,6
78704,Irrigation - Residential,20
78766,Irrigation - Commercial,1
