Year Month,Postal Code,Customer Class,Total Gallons
201501,78723,Austin Water Utility,51400
201402,78751,City of Austin,52900
201612,78756,Irrigation - City of Austin,0
201310,78660,Wholesale,32926900
201501,78722,Irrigation - City of Austin,13500
201304,78751,City of Austin,40700
201504,78724,Austin Water Utility,0
201709,78735,Wholesale,383200
201210,78754,Large Volume,102165200
201708,78617,Irrigation - Commercial,2861300
201510,78727,City of Austin,28700
201205,78756,Austin Water Utility,12900
201708,78723,Austin Water Utility,127200
201306,78701,Austin Water Utility,119000
201703,78652,Commercial,139600
201701,78660,Wholesale,22453500
201703,78719,Irrigation - Commercial,181900
201412,78744,Irrigation - City of Austin,865800
201702,78759,Irrigation - City of Austin,600
201601,78728,Irrigation - Commercial,1353900
201304,78653,Wholesale,0
201709,78752,Austin Water Utility,0
201204,78729,City of Austin,12200
201301,78741,Irrigation - City of Austin,313300
201309,78613,City of Austin,0
201607,78737,Wholesale,546700
201608,78735,Large Volume,27439000
201611,78742,Irrigation - Commercial,101700
201509,78744,Irrigation - City of Austin,3000200
201212,78754,Irrigation - City of Austin,0
201601,78741,Austin Water Utility,29600
201403,78704,Commercial,28767600
201201,78746,Wholesale,67229800
201610,78702,Austin Water Utility,62000
201407,78741,Austin Water Utility,0
201507,78660,Irrigation - Commercial,2039200
201204,78728,Large Volume,2823000
201211,78725,City of Austin,233800
201410,78729,Irrigation - Commercial,5527800
201210,78719,City of Austin,3773500
201407,78717,City of Austin,18500
201703,78737,Wholesale,599600
201602,78746,Irrigation - City of Austin,23200
201505,78756,Austin Water Utility,10600
201203,78741,Irrigation - City of Austin,871900
201505,78741,Large Volume,28716000
201409,78717,Irrigation - Commercial,8244000
201612,78742,Austin Water Utility,0
201606,78744,Irrigation - Commercial,7948600
201210,78726,Commercial,8183600
201302,78750,Irrigation - City of Austin,112000
201606,78744,Irrigation - City of Austin,2797800
201610,78712,Irrigation - Large Volume,20984000
201508,78758,Irrigation - City of Austin,3499500
201511,78748,Wholesale,652000
201201,78717,Irrigation - City of Austin,0
201312,78717,City of Austin,7600
201208,78724,Irrigation - City of Austin,0
201506,78702,Austin Water Utility,39000
201407,78729,City of Austin,11500
201610,78701,Irrigation - City of Austin,1130000
201510,78725,City of Austin,326800
201610,78741,Irrigation - City of Austin,1793600
201512,78681,Irrigation - Commercial,528900
201208,78725,Wholesale,1728100
201401,78754,City of Austin,276800
201506,78617,Irrigation - Commercial,553800
201609,78752,Irrigation - City of Austin,0
201411,78741,Irrigation - City of Austin,787200
201303,78727,Irrigation - City of Austin,13800
201307,78613,Irrigation - Commercial,2581900
201309,78727,Irrigation - City of Austin,12800
201208,78613,Commercial,3568000
201708,78717,Irrigation - City of Austin,0
201310,78747,Austin Water Utility,64400
201408,78719,Wholesale,2034600
201202,78717,City of Austin,0
201507,78719,Irrigation - City of Austin,227900
201607,78701,Irrigation - Commercial,4488300
201508,78701,City of Austin,16641500
201511,78703,Austin Water Utility,70300
201311,78717,Irrigation - City of Austin,4000
201404,78617,Irrigation - City of Austin,0
201506,78719,Austin Water Utility,715100
201611,78729,Commercial,11941600
201208,78702,Austin Water Utility,66000
201509,78725,Large Volume,38477700
201204,78726,Commercial,6136400
201701,78735,Austin Water Utility,0
201207,78741,City of Austin,3193300
201506,78748,Wholesale,478400
201308,78754,Large Volume,162828900
201407,78739,Wholesale,14010800
201204,78704,City of Austin,1577400
201401,78728,Large Volume,3333000
201501,78703,Irrigation - City of Austin,41500
201510,78754,Large Volume,179425900
201505,78735,Large Volume,22738000
201207,78730,Irrigation - Commercial,4324700
201202,78726,Austin Water Utility,0
201706,78701,City of Austin,12828600
201412,78729,City of Austin,10000
201307,78719,Irrigation - Commercial,1586400
201302,78739,Irrigation - City of Austin,0
201408,78737,Wholesale,721900
201205,78725,Large Volume,29871600
201302,78724,Austin Water Utility,0
201507,78722,Irrigation - City of Austin,201500
201602,78735,Wholesale,284200
201310,78748,Wholesale,509900
201203,78745,Irrigation - City of Austin,500
201506,78750,Austin Water Utility,1063800
201611,78723,Irrigation - City of Austin,180200
201412,78705,City of Austin,82100
201502,78681,Irrigation - Commercial,0
201310,78704,Irrigation - City of Austin,587200
201510,78724,Irrigation - City of Austin,0
201312,78726,Commercial,4733200
201408,78729,Wholesale,39541800
201609,78704,Commercial,37836000
201709,78724,City of Austin,13544100
201308,78701,Irrigation - Commercial,4834100
201412,78741,Large Volume,25467000
201708,78660,Wholesale,28379700
201707,78754,City of Austin,513100
201305,78705,City of Austin,169000
201507,78748,Wholesale,518200
201207,78705,Irrigation - City of Austin,3500
201509,78739,Irrigation - City of Austin,35700
201503,78754,Austin Water Utility,197500
201409,78728,Wholesale,49808400
201503,78719,Wholesale,1214100
201305,78725,Wholesale,752400
201707,78701,Austin Water Utility,395000
201408,78617,Irrigation - City of Austin,0
201610,78719,Irrigation - Commercial,828600
201304,78704,Irrigation - Commercial,4428300
201605,78744,Irrigation - City of Austin,1673700
201405,78703,Austin Water Utility,23200
201312,78704,Irrigation - Commercial,2904500
201709,78744,Irrigation - City of Austin,4065700
201409,78613,Irrigation - Commercial,2486500
201311,78746,Irrigation - City of Austin,737100
201501,78751,Irrigation - City of Austin,800
201510,78726,City of Austin,45000
201708,78744,Irrigation - City of Austin,4890900
201309,78704,City of Austin,2634300
201706,78717,Austin Water Utility,100
201612,78735,City of Austin,131000
201404,78726,Irrigation - Commercial,2454900
201401,78719,Wholesale,1049400
201209,78728,Commercial,3146000
201305,78726,Commercial,7973500
201311,78702,Austin Water Utility,86000
201603,78756,Austin Water Utility,30100
201403,78721,Irrigation - City of Austin,18600
201707,78617,Irrigation - City of Austin,0
201603,78750,Irrigation - City of Austin,0
201202,78702,Austin Water Utility,56000
201705,78741,City of Austin,614200
201209,78712,Irrigation - Large Volume,6579300
201508,78702,Irrigation - City of Austin,794800
201303,78727,City of Austin,28300
201502,78732,Austin Water Utility,18000
201512,78705,Irrigation - City of Austin,4700
201406,78741,Austin Water Utility,0
201512,78728,Commercial,11492100
201212,78719,Irrigation - Commercial,763000
201411,78617,Austin Water Utility,115600
201401,78702,Austin Water Utility,114000
201707,78717,Commercial,9079900
201609,78728,Commercial,10879200
201604,78717,Irrigation - Commercial,5080800
201604,78756,Irrigation - City of Austin,0
201309,78727,City of Austin,32500
201507,78747,Austin Water Utility,200
201706,78724,City of Austin,8758200
201611,78719,Irrigation - Commercial,963200
201312,78701,Irrigation - City of Austin,618200
201204,78724,Irrigation - City of Austin,0
201308,78725,City of Austin,698500
201202,78703,Austin Water Utility,9700
201702,78750,Irrigation - City of Austin,0
201202,78728,Large Volume,15303000
201611,78719,Irrigation - City of Austin,1131000
201311,78729,Irrigation - City of Austin,0
201312,78717,Irrigation - City of Austin,6600
201303,78741,Austin Water Utility,75400
201402,78617,Austin Water Utility,83400
201705,78729,Irrigation - City of Austin,0
201410,78702,Austin Water Utility,13800
201211,78719,Austin Water Utility,593900
