Year Month,Postal Code,Customer Class,Total Gallons
201406,78746,Irrigation - City of Austin,29400
201609,78613,Commercial,3965100
201306,78723,Austin Water Utility,0
201404,78726,Austin Water Utility,0
201511,78726,Austin Water Utility,0
201312,78717,Commercial,5071700
201502,78613,Irrigation - Commercial,464300
201206,78735,Large Volume,23726000
201512,78723,Irrigation - City of Austin,128000
201605,78701,Irrigation - City of Austin,530100
201709,78703,Irrigation - City of Austin,813600
201406,78737,Wholesale,472700
201407,78617,City of Austin,13196300
201312,78727,Irrigation - City of Austin,14200
201510,78725,Irrigation - Commercial,410000
201708,78681,Commercial,636800
201501,78728,Wholesale,33268600
201205,78735,City of Austin,298000
201305,78717,Irrigation - City of Austin,17000
201604,78741,Large Volume,31059000
201207,78726,Austin Water Utility,0
201203,78723,Irrigation - City of Austin,32000
201603,78735,Austin Water Utility,0
201208,78746,City of Austin,2213000
201610,78759,Irrigation - City of Austin,700
201708,78704,Irrigation - Commercial,7533700
201307,78728,Irrigation - Commercial,3053300
201506,78704,Irrigation - Commercial,2337100
201705,78617,Irrigation - Commercial,1469500
201203,78737,Irrigation - Commercial,112600
201205,78741,Large Volume,39956000
201607,78701,Austin Water Utility,214000
201503,78681,Irrigation - Commercial,0
201302,78749,Irrigation - City of Austin,11200
201202,78725,Irrigation - Commercial,65100
201209,78728,Large Volume,11400000
201507,78746,Wholesale,65697800
201301,78723,Irrigation - City of Austin,392000
201302,78617,Irrigation - City of Austin,0
201203,78731,Austin Water Utility,0
201304,78722,Irrigation - City of Austin,890100
201606,78748,Wholesale,471700
201306,78746,Irrigation - Commercial,4674200
201508,78728,Commercial,10505500
201705,78725,City of Austin,343600
201505,78729,Irrigation - Commercial,2662600
201605,78742,Austin Water Utility,0
201611,78724,Irrigation - Commercial,4540900
201310,78751,Irrigation - City of Austin,600
201301,78726,Commercial,6687600
201310,78704,Austin Water Utility,11800
201206,78746,Irrigation - City of Austin,76700
201310,78758,Irrigation - City of Austin,100
201309,78613,Irrigation - Commercial,3016300
201310,78739,Irrigation - City of Austin,1200
201205,78613,Irrigation - Commercial,1584500
201512,78717,Commercial,4924900
201306,78756,Irrigation - City of Austin,0
201310,78617,Irrigation - Commercial,2610100
201403,78748,Wholesale,526100
201604,78746,Commercial,11685000
201508,78703,Austin Water Utility,14400
201301,78703,Irrigation - City of Austin,130000
201502,78735,Wholesale,251200
201407,78705,Irrigation - City of Austin,92300
201607,78758,Irrigation - City of Austin,2992000
201312,78754,City of Austin,244200
201202,78613,Commercial,2296300
201410,78754,Austin Water Utility,39900
201201,78704,City of Austin,1171000
201506,78753,Irrigation - City of Austin,301500
201411,78703,Austin Water Utility,13000
201605,78727,Irrigation - City of Austin,100
201210,78724,Austin Water Utility,0
201410,78712,Irrigation - Large Volume,19659000
201509,78701,Irrigation - City of Austin,1290600
201301,78741,City of Austin,545300
201707,78752,Irrigation - City of Austin,0
201411,78726,Commercial,8402500
201403,78724,City of Austin,2443000
201603,78617,Irrigation - City of Austin,0
201304,78617,Austin Water Utility,60300
201304,78754,Irrigation - City of Austin,29700
201704,78747,Austin Water Utility,0
201702,78617,Irrigation - City of Austin,0
201506,78729,City of Austin,9500
201308,78617,Irrigation - City of Austin,32000
201505,78717,Irrigation - City of Austin,0
201409,78741,Irrigation - Commercial,5078200
201302,78737,Wholesale,453800
201602,78725,Irrigation - Commercial,60700
201210,78735,Large Volume,22653000
201704,78729,Irrigation - City of Austin,0
201210,78717,Irrigation - City of Austin,12100
201704,78717,Commercial,6275800
201608,78719,City of Austin,4820000
201709,78728,Irrigation - Commercial,6938900
201601,78754,Austin Water Utility,296200
201203,78704,City of Austin,1368400
201201,78759,Austin Water Utility,0
201506,78728,Irrigation - Commercial,2017900
201610,78719,Wholesale,1777600
201308,78701,Austin Water Utility,197000
201204,78728,Commercial,2795000
201404,78741,City of Austin,496500
201308,78723,Austin Water Utility,0
201312,78742,Austin Water Utility,1242700
201209,78719,Irrigation - Commercial,1215200
201706,78719,Irrigation - City of Austin,846400
201606,78722,Irrigation - City of Austin,182400
201302,78729,Irrigation - Commercial,3593900
201309,78723,Irrigation - City of Austin,779900
201701,78702,Austin Water Utility,182000
201504,78751,Irrigation - City of Austin,800
201508,78721,Irrigation - City of Austin,22100
201501,78742,Austin Water Utility,0
201406,78721,Irrigation - Commercial,368200
201205,78617,City of Austin,8143700
201203,78750,Irrigation - City of Austin,69700
201305,78735,Wholesale,382100
201512,78704,Irrigation - City of Austin,939400
201708,78729,Commercial,14050100
201307,78729,Irrigation - City of Austin,0
201703,78729,Irrigation - City of Austin,0
201402,78729,Irrigation - Commercial,2732300
201509,78746,Commercial,17887700
201511,78724,Austin Water Utility,96800
201208,78742,Irrigation - Commercial,66000
201203,78617,Austin Water Utility,262700
201504,78701,Irrigation - Commercial,970100
201506,78751,Irrigation - City of Austin,3600
201301,78727,Irrigation - City of Austin,100
201210,78751,Irrigation - City of Austin,1109900
201407,78724,Irrigation - City of Austin,0
201410,78613,Commercial,4240200
201603,78723,Austin Water Utility,84600
201506,78726,Commercial,7846300
201208,78725,Irrigation - Commercial,576500
201303,78747,Austin Water Utility,726500
201405,78737,Wholesale,478100
201611,78737,Wholesale,532400
201510,78613,Commercial,4750400
201703,78681,Commercial,493700
201212,78701,City of Austin,5132600
201406,78756,Austin Water Utility,46700
201312,78752,Irrigation - City of Austin,0
201301,78735,Wholesale,438500
201506,78719,City of Austin,3053700
201311,78729,City of Austin,9900
201309,78704,Commercial,42904700
201301,78719,Austin Water Utility,602500
201606,78617,Austin Water Utility,315900
201208,78701,City of Austin,12554000
201209,78724,Austin Water Utility,0
201308,78725,Wholesale,1277200
201209,78741,Austin Water Utility,61900
201707,78726,Austin Water Utility,0
201411,78725,Irrigation - Commercial,294900
201409,78735,City of Austin,277400
201702,78723,Irrigation - City of Austin,0
201209,78703,Irrigation - City of Austin,178100
201403,78729,Wholesale,22333300
201303,78741,Large Volume,31569500
201207,78723,Irrigation - City of Austin,242800
201204,78727,Irrigation - City of Austin,200
201306,78723,Irrigation - City of Austin,329700
201208,78701,Irrigation - Commercial,5199600
201310,78735,Large Volume,20480000
201205,78759,Austin Water Utility,0
201610,78728,Commercial,12444000
201506,78727,Irrigation - City of Austin,19200
201604,78701,City of Austin,7890400
201405,78729,Wholesale,31986700
201701,78719,Irrigation - City of Austin,11900
201707,78723,Austin Water Utility,37500
201503,78660,Irrigation - Commercial,943300
201309,78741,Austin Water Utility,27300
201608,78754,Irrigation - City of Austin,130000
201502,78756,Austin Water Utility,10700
201304,78750,Irrigation - Commercial,5706200
201612,78754,Irrigation - City of Austin,800
201608,78756,Austin Water Utility,22300
201507,78742,Irrigation - Commercial,96500
201404,78744,Irrigation - Commercial,4568600
201511,78729,Irrigation - Commercial,5133300
201603,78704,Commercial,33485200
201202,78754,Austin Water Utility,71700
201605,78731,Austin Water Utility,0
201408,78701,Irrigation - City of Austin,784000
201202,78729,Irrigation - City of Austin,0
201309,78617,Irrigation - Commercial,4844100
201202,78746,Commercial,9368600
201209,78739,Irrigation - City of Austin,63800
201502,78613,Commercial,3139500
201704,78613,Irrigation - Commercial,1056800
201701,78726,Commercial,6515600
201409,78701,Austin Water Utility,340000
201404,78749,Irrigation - City of Austin,2800
201311,78725,Wholesale,1142100
201709,78737,Wholesale,467400
201308,78746,City of Austin,2124800
201208,78703,Irrigation - City of Austin,140200
201704,78717,Austin Water Utility,100
201209,78719,Wholesale,2770200
201306,78719,City of Austin,3838500
201210,78725,Irrigation - Commercial,478700
201408,78751,Irrigation - City of Austin,2200
201507,78704,Irrigation - City of Austin,247400
201310,78746,Irrigation - Commercial,5536100
201607,78753,Irrigation - City of Austin,191900
201302,78613,Irrigation - Commercial,574600
201212,78724,Austin Water Utility,0
201406,78617,Irrigation - City of Austin,0
201508,78724,Irrigation - Commercial,7226000
201611,78727,Irrigation - City of Austin,5200
201512,78704,Austin Water Utility,8900
201211,78749,Irrigation - City of Austin,25100
201403,78758,Irrigation - City of Austin,831000
201512,78732,Austin Water Utility,7000
201709,78756,Irrigation - City of Austin,0
201706,78749,Irrigation - City of Austin,3100
201305,78741,Large Volume,41158000
201702,78652,Irrigation - Commercial,142300
201412,78739,Wholesale,8052800
201212,78741,City of Austin,207400
201501,78746,City of Austin,831600
201212,78747,Austin Water Utility,839800
201610,78701,Irrigation - Commercial,4397800
201208,78726,Austin Water Utility,0
201212,78717,Irrigation - Commercial,6997200
201206,78722,Irrigation - City of Austin,1013800
201504,78756,Irrigation - City of Austin,0
201612,78717,Irrigation - City of Austin,0
201302,78741,Large Volume,33661000
201503,78724,City of Austin,3598400
201302,78754,City of Austin,250200
201202,78728,Wholesale,31001800
201610,78705,Irrigation - City of Austin,9000
201705,78742,Irrigation - Commercial,129300
201505,78722,Irrigation - City of Austin,7700
201403,78731,Austin Water Utility,0
201305,78719,Austin Water Utility,411900
201307,78746,Irrigation - City of Austin,351800
201607,78613,Commercial,4365100
201310,78717,Irrigation - City of Austin,20100
201611,78754,Irrigation - City of Austin,0
201610,78746,Irrigation - City of Austin,476000
201302,78756,Irrigation - City of Austin,0
201212,78704,Irrigation - City of Austin,241300
201306,78719,Austin Water Utility,470400
201706,78701,Irrigation - City of Austin,656300
201204,78729,Irrigation - Commercial,2872800
201705,78701,City of Austin,10131900
201203,78735,Austin Water Utility,0
201502,78753,Irrigation - City of Austin,204000
201606,78751,City of Austin,672000
201307,78725,Wholesale,1122000
201612,78681,Commercial,756000
201202,78660,Irrigation - Commercial,1125000
201402,78725,City of Austin,233200
201401,78653,Wholesale,0
201706,78723,Austin Water Utility,35100
201608,78747,Austin Water Utility,0
201309,78722,Irrigation - City of Austin,782000
201308,78717,City of Austin,0
201411,78741,Large Volume,32458000
201603,78758,Irrigation - City of Austin,1434800
201203,78617,City of Austin,18333500
201610,78704,Irrigation - City of Austin,577400
201611,78729,Irrigation - City of Austin,0
201412,78746,City of Austin,898300
201410,78751,Irrigation - City of Austin,1900
201612,78746,Austin Water Utility,636200
201605,78703,Irrigation - City of Austin,407700
201209,78617,Irrigation - City of Austin,0
201704,78735,Austin Water Utility,0
201507,78617,Irrigation - Commercial,776100
201605,78717,Irrigation - City of Austin,0
201705,78726,City of Austin,428000
201510,78717,Commercial,7463700
201304,78729,City of Austin,13200
201612,78701,Irrigation - City of Austin,626900
201506,78704,Austin Water Utility,6700
201706,78739,Wholesale,25086100
201206,78705,Irrigation - City of Austin,1300
201201,78723,Austin Water Utility,0
201308,78712,Irrigation - Large Volume,24325000
201611,78728,Commercial,13289900
201708,78724,City of Austin,9426600
201410,78703,Irrigation - City of Austin,260500
201512,78719,City of Austin,3747500
201302,78719,Wholesale,1415500
201610,78735,Large Volume,21845000
201601,78741,Irrigation - City of Austin,310900
201608,78741,Large Volume,35675000
201702,78757,Irrigation - City of Austin,0
201612,78717,Austin Water Utility,63100
201309,78719,Irrigation - Commercial,2131300
201212,78754,Austin Water Utility,402600
201407,78704,Irrigation - City of Austin,941800
201302,78756,Austin Water Utility,25600
201411,78746,Wholesale,110847600
201303,78754,Large Volume,95082900
201407,78726,City of Austin,15000
201502,78735,Austin Water Utility,0
201502,78701,Irrigation - Commercial,911200
201708,78741,Austin Water Utility,24400
201403,78704,Austin Water Utility,9300
201410,78732,City of Austin,0
201611,78728,Wholesale,40486000
201409,78724,Austin Water Utility,0
201701,78725,Large Volume,34474000
201309,78652,Commercial,919500
201407,78725,Large Volume,31938000
201201,78719,Austin Water Utility,137700
201709,78702,Irrigation - City of Austin,1022700
201309,78729,Irrigation - Commercial,8579100
201608,78617,Irrigation - Commercial,2667200
201604,78652,Irrigation - Commercial,626000
201412,78732,Austin Water Utility,41900
201310,78705,Irrigation - City of Austin,150500
201408,78705,City of Austin,155800
201405,78704,Irrigation - City of Austin,296500
201603,78744,Irrigation - City of Austin,1115000
201204,78756,Austin Water Utility,41900
201404,78744,Austin Water Utility,403200
201606,78729,Wholesale,28119900
201209,78725,City of Austin,235600
201503,78724,Irrigation - City of Austin,0
201501,78617,Irrigation - Commercial,373700
201707,78717,City of Austin,176800
201408,78728,Irrigation - Commercial,5051300
201205,78724,Irrigation - City of Austin,0
201606,78741,Large Volume,32511000
201211,78746,Irrigation - City of Austin,858000
201501,78702,Irrigation - City of Austin,405200
201406,78704,Commercial,36469700
201508,78719,City of Austin,4130600
201203,78722,Irrigation - City of Austin,801100
201709,78754,Large Volume,221573000
201604,78702,Irrigation - City of Austin,853900
201311,78729,Commercial,9792700
201204,78735,Wholesale,353600
201708,78653,Wholesale,2000
201202,78727,City of Austin,26400
201302,78728,Commercial,2390000
201202,78660,Wholesale,23291000
201408,78717,Irrigation - City of Austin,20000
201303,78617,Irrigation - City of Austin,0
201311,78704,Austin Water Utility,10900
201304,78719,City of Austin,2994400
201309,78728,Commercial,3144300
201512,78725,Irrigation - Commercial,148900
201603,78748,Wholesale,493800
201708,78748,Wholesale,525400
201303,78758,Irrigation - City of Austin,2052700
201608,78726,Commercial,11256100
201407,78704,Irrigation - Commercial,4776100
201207,78701,City of Austin,11967600
201703,78727,City of Austin,29700
201604,78617,Austin Water Utility,300600
201610,78741,Large Volume,32368000
201510,78732,Austin Water Utility,0
201203,78735,Wholesale,442300
201705,78751,Irrigation - City of Austin,700
201412,78703,Irrigation - City of Austin,128100
201201,78729,Wholesale,24256800
201207,78703,Austin Water Utility,11800
201408,78730,Irrigation - Commercial,4415400
201410,78703,Austin Water Utility,10600
201408,78719,Austin Water Utility,758600
201402,78744,City of Austin,267500
201609,78728,Irrigation - Commercial,4379800
201504,78728,Commercial,8259200
201605,78617,Austin Water Utility,255500
201709,78724,Irrigation - City of Austin,0
201508,78728,Wholesale,47811300
201504,78753,Irrigation - City of Austin,322000
201406,78748,Wholesale,508100
201310,78754,Irrigation - City of Austin,31300
201605,78724,Austin Water Utility,946500
201601,78728,Wholesale,36379900
201205,78729,Wholesale,41527200
201409,78653,Wholesale,0
201201,78737,Wholesale,478000
201603,78721,Irrigation - City of Austin,16100
201305,78746,Wholesale,91094100
201507,78721,Irrigation - Commercial,552000
201510,78746,Commercial,16466800
201301,78741,Austin Water Utility,33000
201211,78730,Irrigation - Commercial,3879500
201706,78746,Irrigation - City of Austin,159000
201308,78739,Wholesale,24855500
201608,78717,Irrigation - City of Austin,0
201705,78719,Wholesale,1367400
201204,78737,Irrigation - Commercial,126400
201404,78741,Irrigation - City of Austin,154400
201401,78613,Irrigation - Commercial,368100
201708,78717,Commercial,8575900
201601,78741,Irrigation - Commercial,1659300
201212,78717,Irrigation - City of Austin,34000
201508,78704,Irrigation - City of Austin,571300
201312,78751,City of Austin,45700
201605,78705,City of Austin,97000
201205,78724,City of Austin,6061200
201212,78735,Wholesale,613600
201211,78719,City of Austin,2755100
201606,78726,Irrigation - Commercial,2819800
201607,78704,Austin Water Utility,7400
201607,78747,Irrigation - Commercial,807100
201512,78719,Irrigation - Commercial,136300
201310,78753,Austin Water Utility,0
201602,78704,Austin Water Utility,7300
201310,78617,Austin Water Utility,175500
201405,78722,Irrigation - City of Austin,7600
201307,78660,Wholesale,27798000
201607,78749,Irrigation - City of Austin,14600
201302,78722,Irrigation - City of Austin,468500
201503,78652,Commercial,1077400
201602,78712,Irrigation - Large Volume,7649000
201412,78735,Austin Water Utility,0
201308,78705,City of Austin,426600
201507,78701,Irrigation - City of Austin,428200
201611,78617,City of Austin,202100
201206,78704,Irrigation - Commercial,6046800
201603,78727,Irrigation - City of Austin,100
201412,78739,Austin Water Utility,0
201701,78735,City of Austin,159000
201407,78712,Irrigation - Large Volume,21882000
201404,78728,Large Volume,2908000
201501,78746,Wholesale,61140300
201511,78701,Irrigation - Commercial,3726200
201412,78717,Irrigation - City of Austin,0
201305,78722,Irrigation - City of Austin,516100
201604,78722,Irrigation - City of Austin,15300
201601,78717,Irrigation - City of Austin,0
201402,78701,Austin Water Utility,90000
201508,78617,Irrigation - Commercial,2795100
201310,78719,Austin Water Utility,0
201203,78739,Wholesale,9493200
201202,78613,Irrigation - Commercial,854700
201708,78754,Austin Water Utility,1700
201206,78741,City of Austin,3187200
201203,78754,Irrigation - City of Austin,0
201409,78746,Irrigation - City of Austin,297600
201605,78727,City of Austin,26200
201306,78746,City of Austin,1418200
201211,78704,Austin Water Utility,20000
201504,78747,Irrigation - Commercial,373200
201411,78754,Large Volume,118483000
201506,78724,Irrigation - City of Austin,0
201202,78726,Irrigation - Commercial,1745600
201204,78724,City of Austin,5169700
201210,78729,City of Austin,15700
201306,78741,Irrigation - City of Austin,558000
201508,78742,Irrigation - Commercial,162000
201308,78741,Austin Water Utility,25400
201405,78735,Austin Water Utility,2000
201404,78724,Irrigation - Commercial,3419900
201204,78741,City of Austin,242300
201708,78702,Austin Water Utility,39000
201402,78719,Irrigation - Commercial,407500
201408,78727,Irrigation - City of Austin,12800
201606,78747,Austin Water Utility,100
201608,78701,Irrigation - City of Austin,1277500
201309,78746,Irrigation - City of Austin,73000
201702,78753,Irrigation - City of Austin,48400
201406,78741,Irrigation - Commercial,3280200
201708,78753,Irrigation - City of Austin,387500
201211,78737,Wholesale,480000
201209,78719,Irrigation - City of Austin,343400
201501,78701,Irrigation - Commercial,1301400
201504,78701,Austin Water Utility,129000
201202,78729,Wholesale,21908000
201505,78652,Irrigation - Commercial,49700
201301,78744,Irrigation - City of Austin,391000
201503,78704,Irrigation - Commercial,1616700
201503,78721,Irrigation - City of Austin,14400
201306,78705,City of Austin,440700
201310,78704,City of Austin,1514700
201411,78724,Austin Water Utility,0
201704,78652,Commercial,325700
201305,78744,Irrigation - City of Austin,2361800
201608,78725,Large Volume,31703300
201206,78701,Irrigation - Commercial,4912700
201304,78660,Wholesale,23308200
201409,78702,Austin Water Utility,16100
201702,78737,Wholesale,535500
201505,78719,Irrigation - Commercial,630300
201211,78756,Austin Water Utility,35200
201506,78729,Irrigation - Commercial,2059500
201311,78746,Irrigation - Commercial,3000900
201410,78749,Irrigation - City of Austin,3000
201605,78704,Austin Water Utility,8000
201511,78652,Commercial,442300
201308,78741,Irrigation - City of Austin,1566100
201712,78727,Irrigation - City of Austin,200
201306,78754,Irrigation - Commercial,5917300
201310,78747,Irrigation - Commercial,1237400
201803,78739,Irrigation - City of Austin,100
201610,78701,Commercial,86748100
201802,78729,Irrigation - City of Austin,0
201804,78739,Commercial,1426100
201801,78739,Irrigation - City of Austin,100
201207,78712,Irrigation - Commercial,13447800
201804,78728,Wholesale,36384600
201310,78759,City of Austin,55900
201202,78745,City of Austin,222500
201410,78732,Commercial,142100
201406,78766,Commercial,6300
201707,78705,Large Volume,5693000
201312,78705,Large Volume,3758400
201704,78751,Irrigation - Commercial,174500
201708,78735,Commercial,11214900
201307,78745,Irrigation - Commercial,7422200
201408,78731,Commercial,17213800
201712,78704,Irrigation - City of Austin,331100
201406,78737,Irrigation - Commercial,288100
201206,78748,City of Austin,49300
201502,78766,Irrigation - Commercial,0
201306,78710,Irrigation - Commercial,100
201202,78722,City of Austin,40400
201705,78745,City of Austin,2226100
201409,78742,Commercial,553100
201704,78730,Irrigation - Commercial,2834200
201606,78749,Irrigation - Commercial,5394800
201201,78757,City of Austin,129700
201201,78742,Commercial,378700
201204,78710,Irrigation - Commercial,1400
201312,78703,Commercial,12143800
201803,78756,Commercial,9580400
201201,78739,Irrigation - Commercial,931100
201310,78714,Commercial,536900
201604,78712,Large Volume,3721000
201709,78748,Commercial,14532900
201709,78731,Irrigation - Commercial,4929700
201408,78703,Irrigation - Commercial,2358400
201711,78756,Irrigation - City of Austin,0
201712,78758,City of Austin,478400
201502,78745,Wholesale,5110100
201704,78759,Austin Water Utility,14200
201606,78722,Irrigation - Commercial,762700
201804,78750,City of Austin,358400
201403,78721,City of Austin,153500
201203,78744,Irrigation - Commercial,3212700
201204,78723,City of Austin,2429200
201404,78725,Austin Water Utility,202800
201605,78757,City of Austin,800300
201302,78731,Irrigation - Commercial,2687900
201704,78750,Austin Water Utility,534000
201502,78746,City of Austin,1091800
201803,78741,City of Austin,453500
201506,78758,Irrigation - Commercial,6646700
201610,78725,Irrigation - Commercial,370300
201311,78755,Commercial,33800
201711,78737,Irrigation - Commercial,371100
201808,78701,City of Austin,19768000
201707,78726,Commercial,6940600
201304,78730,Commercial,2038300
201608,78754,Irrigation - Commercial,8544100
201203,78721,Austin Water Utility,4200
201301,78756,Irrigation - Commercial,504700
201809,78748,Irrigation - Commercial,12453700
201506,78759,City of Austin,209700
201406,78732,Commercial,1154900
201508,78721,Austin Water Utility,20900
201409,78705,Large Volume,8389000
201804,78653,Irrigation - Commercial,1345100
201406,78721,Commercial,7027500
201401,78759,Commercial,34632100
201702,78705,Commercial,26020900
201807,78653,Irrigation - Commercial,2111400
201805,78753,Commercial,36077200
201309,78712,Commercial,12057800
201308,78748,City of Austin,54700
201808,78728,Wholesale,49765800
201804,78759,Irrigation - Commercial,9019100
201404,78702,City of Austin,3756800
201806,78749,Irrigation - Commercial,9985500
201712,78703,Commercial,11725400
201710,78702,Commercial,26326600
201512,78754,Irrigation - Commercial,3610500
201212,78712,Irrigation - Commercial,5218200
201305,78701,Commercial,70520700
201203,78712,Large Volume,17643400
201210,78722,City of Austin,153000
201703,78710,Irrigation - Commercial,0
201207,78754,Irrigation - Commercial,8878800
201807,78705,Austin Water Utility,2600
201612,78757,City of Austin,135500
201411,78735,Irrigation - Commercial,3793900
201807,78660,Commercial,7336200
201801,78758,City of Austin,357300
201512,78756,Commercial,11514300
201801,78746,Austin Water Utility,1056700
201708,78755,Commercial,145800
201710,78751,Commercial,12613200
201409,78712,Large Volume,11017400
201211,78725,Commercial,5316200
201408,78758,City of Austin,2636100
201409,78660,Commercial,5335000
201212,78703,Commercial,16180200
201704,78747,Commercial,1286400
201610,78747,Wholesale,4212200
201704,78759,Irrigation - Commercial,8565900
201609,78701,Large Volume,1599000
201603,78660,Commercial,5686900
201603,78723,Commercial,15831900
201603,78721,Austin Water Utility,5600
201606,78705,Commercial,27385300
201706,78750,City of Austin,267100
201702,78745,Irrigation - City of Austin,37900
201701,78757,Irrigation - City of Austin,83200
201608,78725,Commercial,4104000
201705,78721,Austin Water Utility,6300
201807,78727,Irrigation - City of Austin,0
201708,78732,Irrigation - Commercial,0
201211,78735,Irrigation - Commercial,4125000
201405,78766,Commercial,4800
201309,78759,Irrigation - Commercial,18209900
201301,78712,Large Volume,5591300
201306,78766,Irrigation - Commercial,0
201302,78753,Austin Water Utility,1300
201702,78759,Irrigation - Commercial,5248000
201606,78736,Irrigation - Commercial,190800
201206,78742,Commercial,491900
201710,78704,Commercial,36132700
201408,78749,Irrigation - Commercial,10886600
201501,78753,City of Austin,40900
201710,78766,Commercial,6200
201206,78758,Commercial,43856100
201206,78714,Commercial,719900
201209,78701,Commercial,94118000
201501,78754,Irrigation - Commercial,1547100
201803,78746,Commercial,9290100
201412,78754,Commercial,10124600
201608,78750,Irrigation - Commercial,7878600
201404,78756,Commercial,11024200
201604,78747,Commercial,1444800
201807,78724,Irrigation - City of Austin,0
201711,78741,Austin Water Utility,24900
201303,78724,Commercial,6178900
201708,78748,City of Austin,72600
201801,78752,City of Austin,75400
201708,78752,Austin Water Utility,0
201402,78737,Commercial,314200
201403,78732,Irrigation - Commercial,0
201804,78756,Austin Water Utility,15400
201510,78731,City of Austin,742800
201312,78750,Commercial,8030200
201407,78722,Commercial,5045700
201306,78750,Austin Water Utility,534900
201805,78705,Large Volume,5953000
201512,78730,Irrigation - Commercial,2457300
201809,78712,Large Volume,14152800
201808,78704,Irrigation - City of Austin,484500
201801,78741,Commercial,23550800
201209,78756,City of Austin,279000
201311,78737,Commercial,328000
201508,78758,Irrigation - Commercial,17685200
201405,78653,Irrigation - Commercial,340300
201310,78756,Irrigation - Commercial,845100
201501,78757,City of Austin,216500
201710,78660,Austin Water Utility,0
201709,78728,Commercial,13595600
201802,78751,Irrigation - City of Austin,10800
201504,78752,Commercial,20531700
201806,78701,Large Volume,1527700
201511,78749,City of Austin,43400
201204,78747,Irrigation - Commercial,467700
201401,78732,Commercial,759900
201705,78759,Irrigation - Commercial,12670100
201611,78757,Irrigation - Commercial,1386900
201406,78749,City of Austin,510200
201412,78741,Commercial,15798900
201801,78613,Irrigation - Commercial,1611700
201707,78745,Irrigation - Commercial,8493800
201512,78748,Commercial,11366100
201705,78705,Large Volume,5043000
201511,78722,Commercial,4564500
201604,78739,City of Austin,8000
201301,78710,Commercial,54700
201809,78749,Austin Water Utility,22500
201412,78750,Irrigation - Commercial,2698300
201805,78747,Wholesale,2694300
201806,78727,Irrigation - City of Austin,100
201207,78766,Commercial,4600
201503,78752,City of Austin,66300
201312,78710,Commercial,27800
201703,78759,Austin Water Utility,15500
201208,78725,Commercial,5950300
201801,78753,Austin Water Utility,52200
201505,78736,Irrigation - Commercial,197900
201804,78750,Austin Water Utility,1083300
201705,78729,Irrigation - Commercial,6895300
201305,78730,Commercial,2627200
201609,78758,Commercial,48336000
201312,78756,Commercial,11385800
201411,78735,Commercial,9250300
201404,78721,Austin Water Utility,6700
201504,78660,Irrigation - Commercial,1315000
201509,78753,Austin Water Utility,1000
201508,78723,Irrigation - Commercial,5822500
201505,78745,Commercial,27020000
201701,78739,City of Austin,81200
201612,78736,Irrigation - Commercial,563000
201712,78742,Austin Water Utility,0
201508,78739,Irrigation - Commercial,3486800
201704,78724,Irrigation - Commercial,3896300
201411,78732,Irrigation - Commercial,0
201209,78749,Austin Water Utility,200
201504,78758,Commercial,36693500
201711,78722,Commercial,4228300
201612,78712,Irrigation - Commercial,2901700
201711,78712,Irrigation - Commercial,3825900
201704,78705,Large Volume,5342000
201809,78731,Commercial,16980000
201707,78754,Irrigation - Commercial,7704700
201707,78748,Irrigation - Commercial,9904500
201709,78745,Commercial,33831300
201404,78712,Irrigation - Commercial,1413600
201401,78702,Irrigation - City of Austin,427700
201205,78712,Large Volume,16544900
201505,78745,Irrigation - City of Austin,92000
201801,78730,Commercial,3144700
201208,78745,Irrigation - City of Austin,129300
201204,78757,Irrigation - Commercial,512100
201208,78753,Commercial,45498400
201512,78751,Irrigation - Commercial,335700
201809,78754,Commercial,16572600
201204,78735,Commercial,8179300
201507,78705,Large Volume,6779000
201704,78749,Commercial,10416900
201601,78736,Irrigation - Commercial,129700
201808,78729,Commercial,14619800
201508,78754,Irrigation - Commercial,10069200
201702,78731,City of Austin,131900
201402,78750,Austin Water Utility,177200
201609,78757,City of Austin,629300
201802,78703,Irrigation - Commercial,1044900
201804,78704,Irrigation - Commercial,2411900
201207,78702,Commercial,27712200
201502,78757,City of Austin,110500
201511,78739,Austin Water Utility,0
201805,78721,City of Austin,156700
201306,78745,City of Austin,1792700
201705,78712,Irrigation - Commercial,5785100
201510,78710,Irrigation - Commercial,0
201712,78660,Irrigation - City of Austin,0
201312,78721,Austin Water Utility,4200
201406,78739,Irrigation - Commercial,4170600
201806,78723,Irrigation - Commercial,5327200
201201,78721,Austin Water Utility,11100
201312,78749,Commercial,9851700
201711,78735,Commercial,9601100
201506,78703,Commercial,12440900
201308,78701,Large Volume,902000
201208,78731,Irrigation - Commercial,8464000
201709,78731,Irrigation - City of Austin,829500
201711,78751,Commercial,11821600
201506,78727,Commercial,21018100
201305,78752,Irrigation - Commercial,2811800
201305,78744,Irrigation - Commercial,6546800
201801,78756,Irrigation - Commercial,458300
201712,78737,Wholesale,234400
201412,78766,Commercial,14900
201610,78750,Commercial,9620600
201704,78724,Commercial,6063400
201807,78752,Irrigation - City of Austin,12600
201210,78759,Austin Water Utility,24500
201407,78756,Irrigation - Commercial,732100
201210,78757,Commercial,18767800
201407,78756,City of Austin,257400
201506,78732,Commercial,94400
201802,78722,City of Austin,26300
201312,78745,Commercial,24418300
201708,78730,Irrigation - Commercial,6414300
201405,78712,Large Volume,15412600
201412,78721,Irrigation - Commercial,194600
